Item,Sentence 
id_00001774,"color is Rose  27"" approx. length from high point shoulder to hem, 40"" chest, 40"" waist, 9"" sleeve length from high point shoulder  Measured from Medium "
id_00001775,"color is Red navy Adjustable straps Unlined, woven"
id_00001776,"color is Black cream Lightweight, woven Unlined"
id_00001777,"color is Burgundy Lightweight, woven Fully lined"
id_00001778,"color is Black ivory Draped shawl collar 49% polyester, 48% rayon, 3% spandex"
id_00001779,color is Heather grey black Lightweight knit Long sleeves
id_00001780,color is White Woven 100% cotton
id_00001781,color is White Midweight knit 100% cotton
id_00001782,"color is Sage Woven, unlined 100% rayon"
id_00001783,"color is Black Lightweight, woven 100% cotton"
id_00001784,color is Black gold Crew neck Knit
id_00001785,"color is Heather grey black Knit 95% rayon, 5% spandex"
id_00001786,color is Amber Unlined 100% lyocell
id_00001787,"color is Nude Buttoned keyhole back Woven, lightweight"
id_00001788,"color is Black Lightweight, woven Unlined"
id_00001789,color is Heather grey Knit 100% rayon
id_00001790,"color is Cream black Unlined, woven 100% viscose"
id_00001791,"color is Navy Lightweight knit 99% cotton, 1% spandex"
id_00001792,"color is Heather grey Lightweight 63% polyester, 34% rayon, 3% spandex"
id_00001793,"color is White black Knit 50% cotton, 50% modal"
id_00001794,color is Navy red Unlined Lightweight woven
id_00001795,"color is Grey Lightweight 91% rayon, 6% spandex, 2% polyester"
id_00001796,color is Cream black Unlined Midweight knit
id_00001797,"color is Lavender 15"" approx. length from waist to hem, 26"" waist Measured from Small"
id_00001798,"color is Black cream Lightweight 51% polyester, 49% rayon; Contrast: 96% rayon, 4% spandex"
id_00001799,"color is Black Unlined Lightweight, woven"
id_00001800,"color is Black Unlined Lightweight, knit"
id_00001801,"color is Tomato 20"" approx. length from high point shoulder to hem, 30"" chest, 24"" waist Measured from Small"
id_00001802,"color is Black cream Lightweight, woven 100% cotton"
id_00001803,"color is Charcoal black Snap-button flap pockets, partially lined Lightweight, woven"
id_00001804,"color is Cream gunmetal Adjustable straps Woven, unlined"
id_00001805,"color is Nude Unlined Lightweight, woven"
id_00001806,"color is Ivory black Unlined, chest patch pocket Lightweight, woven"
id_00001807,color is Taupe black Unlined Woven
id_00001808,"color is Olive Lightweight, woven 100% cotton"
id_00001809,color is Olive green Woven Mock fly
id_00001810,"color is Cream Buttoned keyhole back Woven, unlined"
id_00001811,color is Heather grey Ribbed trim Lightweight knit
id_00001812,"color is Black Lightweight, fully lined 100% polyester"
id_00001813,"color is Black 50% rayon, 50% polyester 28"" full length, 40"" chest, 44"" waist, 26"" sleeve length"
id_00001813,"color is Black 50% rayon, 50% polyester 28"" full length, 40"" chest, 44"" waist, 26"" sleeve length"
id_00001814,color is Heather grey white Ribbed ankle cuffs Lightweight knit
id_00001815,"color is Heather grey black Lightweight knit 60% cotton, 40% modal"
id_00001816,"color is Natural Unlined Ribbed trim, side vents"
id_00001817,color is White black Round neckline Lightweight knit
id_00001818,"color is Navy rust Round neckline Woven, unlined"
id_00001819,"color is Black Removable faux leather belt, invisible back zipper Partially lined, lightweight"
id_00001820,"color is Ivory multi Unlined, woven 100% rayon"
id_00001821,"color is Navy cream Zippered side, unlined Woven"
id_00001822,"color is Denim washed Woven, unlined 100% cotton"
id_00001823,"color is White white Buttoned keyhole back, fully lined Midweight knit"
id_00001824,"color is Heather grey Lightweight 98% rayon, 2% spandex"
id_00001825,"color is Hot pink Buttoned cuffs, unlined Lightweight, woven"
id_00001826,"color is Cream Unlined, elasticized waist Lightweight knit"
id_00001827,"color is Black Unlined, woven Button-fly closure, Removable belt"
id_00001828,"color is Plum Lightweight Unlined, woven"
id_00001829,color is Light denim Woven 100% cotton
id_00001830,"color is Light denim Lightweight, woven 100% cotton"
id_00001831,color is Burgundy Long sleeves Ribbed trim
id_00001832,"color is Black rust Lightweight, woven Unlined"
id_00001833,"color is Pink Round neckline, unlined Lightweight"
id_00001834,"color is Blue aqua Unlined 90% polyester, 10% spandex"
id_00001835,"color is Teal 95% cotton, 5% spandex 14.5"" full length, 32"" chest, 26"" waist"
id_00001836,color is Baby blue Partially lined 100% polyester
id_00001837,"color is Black pink Elasticized neckline, partially smocked underlayer Lightweight, woven"
id_00001838,color is Cream navy Lightweight knit 100% cotton
id_00001839,color is Cream Unlined 100% rayon
id_00001840,"color is Black cream 24"" - 30"" approx. length from high point shoulder to hem, 42"" chest, 44"" waist, 7"" sleeve length from high point shoulder Measured from Small"
id_00001841,color is Cream Partially lined Lightweight
id_00001842,color is Black Fully lined Lightweight
id_00001843,"color is Mint  28"" approx. length from high point shoulder to hem, 40"" chest, 36"" waist, 9"" sleeve length from high point shoulder  Measured from Small "
id_00001844,"color is Navy cream Round neckline 65% polyester, 35% cotton"
id_00001845,"color is Black multi Unlined Lightweight, woven"
id_00001846,"color is Cream Unlined Lightweight, woven"
id_00001847,"color is Black nude Elasticized waist, lightweight Fully lined, woven"
id_00001848,"color is Grey yellow Lightweight knit Shell 1: 51% polyester, 46% rayon, 3% spandex; Shell 2: 96% rayon, 4% spandex"
id_00001849,"color is Black white Elasticized waist & bust, unlined Lightweight, woven"
id_00001850,"color is Cream black Vented sides, unlined Lightweight, woven"
id_00001851,"color is Teal Knit 50% rayon, 50% acrylic"
id_00001852,"color is Blush sage Unlined Lightweight, woven"
id_00001853,"color is White black Officially licensed product Knit, lightweight"
id_00001854,color is Black Lightweight knit Long sleeves
id_00001855,"color is Red cream Ruched back, invisible side zipper Unlined, woven"
id_00001856,"color is Oatmeal black Ribbed accents, round neckline Lightweight"
id_00001857,"color is Cream black Unlined, woven 97% polyester, 3% spandex"
id_00001858,color is Black beige Mid- heavyweight Shell 1: 100% polyester; Shell 2: 100% nylon; Shell 3: 100% acrylic
id_00001859,"color is Coral teal Woven Elasticized waist, slant & welt pockets"
id_00001860,"color is Blush Unlined Lightweight, woven"
id_00001861,"color is Cream Knit, partially lined Shell: 97% nylon, 3% spandex; Lining: 100% polyester"
id_00001862,"color is Black taupe Open front, unlined Woven, 3/4 sleeves"
id_00001863,"color is Light aqua 53% polyester, 47% cotton 27"" full length, 32"" chest, 34"" waist"
id_00001864,"color is Cream navy Unlined, concealed side zipper Lightweight knit"
id_00001865,"color is Medium denim 32"" approx. inseam, 25"" waist, 10"" leg opening, 8"" rise, 20"" thigh circumference Measured from Size 25"
id_00001866,color is Light blue Woven Basic collar
id_00001867,"color is Light denim Lightweight, woven 99% cotton, 1% spandex"
id_00001868,color is Cream Lightweight 100% acrylic
id_00001869,"color is Charcoal Lightweight 68% rayon, 27% nylon, 5% spandex"
id_00001870,"color is Black white Lightweight knit 88% cotton, 12% polyester"
id_00001871,"color is Navy cream Buttoned cuff long sleeves Unlined, woven"
id_00001872,"color is Coral multi Unlined, woven 100% polyester"
id_00001873,"color is Black Unlined Lightweight, woven"
id_00001874,color is Plum Unlined Lightweight
id_00001875,"color is Grey Woven, fully lined Two-button closure, chest welt pocket"
id_00001876,color is Teal navy Unlined Lightweight knit
id_00001877,color is Taupe Buttoned front Ribbed trim
id_00001878,"color is Green red Elasticized waist Woven, partially lined"
id_00001879,"color is Charcoal heather Round neckline, unlined Lightweight"
id_00001880,"color is Beige Zip fly, unlined Woven"
id_00001881,"color is White red 90% cotton, 10% viscose 30"" full length, 42"" chest, 40"" waist"
id_00001882,"color is Heather grey Lightweight 65% polyester, 35% rayon"
id_00001883,"color is Black multi Unlined, Lightweight knit"
id_00001884,color is Rust Lightweight 100% acrylic
id_00001885,"color is Indigo Unlined, cuffed sleeves and ankles Lightweight knit"
id_00001886,"color is Black  33"" approx. length from high point shoulder to hem, 31"" chest, 23"" waist, 12"" shoulder width   Measured from Small "
id_00001887,"color is Cream black 50% cotton, 50% modal 24"" full length, 32"" chest, 33"" waist, 6"" sleeve length"
id_00001888,"color is Heather grey black Round neckline, short sleeves Lightweight knit"
id_00001889,"color is Black Elasticized waist, unlined Lightweight, woven"
id_00001890,"color is Cream Sleeveless, partially lined Lightweight, woven"
id_00001891,"color is Cream black Lightweight, woven & knit Unlined, contrast crew neck"
id_00001892,"color is Cream Exposed back zipper, fully lined Shell: 95% polyester, 5% spandex; Lining: 100% polyester"
id_00001893,"color is Sky blue Partially lined Lightweight, woven"
id_00001894,"color is White black Knit, unlined 100% polyester"
id_00001895,"color is Black cream Unlined Lightweight, woven"
id_00001896,"color is Blue red Lightweight, woven Chest flap pocket"
id_00001897,"color is Cream bronze Woven 24"" full length, 38"" chest, 36"" waist"
id_00001898,"color is Blue orange Unlined, curved hem Lightweight, woven"
id_00001899,"color is Grey cream Lightweight 75% rayon, 25% polyester"
id_00001900,color is Black cream Semi-sheer Lightweight knit
id_00001901,"color is Purple red Unlined, woven 100% rayon"
id_00001902,color is White multi Officially licensed product Lightweight knit
id_00001903,"color is Grey Lightweight, woven Buttoned front, fully lined"
id_00001903,"color is Grey Lightweight, woven Buttoned front, fully lined"
id_00001904,color is Heather grey black Rolled cuffs Lightweight knit
id_00001905,"color is Lavender Lightweight, elasticized cuffs Unlined"
id_00001906,"color is Pink Lightweight 58% rayon, 21% polyester, 19% nylon, 2% spandex"
id_00001907,"color is Dark denim Lightweight, woven 100% cotton"
id_00001908,"color is Cream multi Lightweight 63% polyester, 21% acrylic, 6% rayon, 4% wool, 3% nylon"
id_00001909,"color is Cream 23"" approx. length from high point shoulder to hem, 40"" chest, 42"" waist, 9"" sleeve length from high point shoulder Measured from Small"
id_00001910,"color is Cream black Lightweight, woven Unlined"
id_00001911,"color is Teal Exposed back zipper Unlined, lightweight"
id_00001912,"color is Cream black Unlined, woven Shell: 100% cotton; Embroidery: 100% polyester"
id_00001913,"color is Black pink 12"" waist side seam to hem, 2"" inseam, 28"" leg opening, 12.5"" rise, 26"" waist Measured from Small"
id_00001914,"color is Black coral Adjustable straps, concealed side zipper Woven, unlined"
id_00001915,"color is Cream grey 24.5"" approx. length from high point shoulder to hem, 41"" chest, 41"" waist, 11"" sleeve length from high point shoulder Measured from Small"
id_00001916,"color is Mauve 22.5"" approx. length from high point shoulder to hem, 35"" chest, 35"" waist, 24"" sleeve length from high point shoulder Measured from Small"
id_00001917,"color is Ivory black Back mock pockets, zip fly Fully lined"
id_00001918,"color is Tan black Woven Five-pocket construction, zip fly"
id_00001919,"color is Peach bud Lightweight, woven Round hem"
id_00001919,"color is Peach bud Lightweight, woven Round hem"
id_00001920,color is Navy Unlined Lightweight
id_00001921,color is Cream black Unlined Lightweight
id_00001922,color is Cream rust Woven Mock fly
id_00001923,"color is Charcoal 76% rayon, 19% polyester, 5% spandex 34"" full length, 38"" chest, 38"" waist"
id_00001924,color is Black gold Lightweight knit 100% polyester
id_00001925,"color is Sunset gold Lightweight knit 95% cotton, 5% spandex"
id_00001926,"color is Cream Lightweight knit 70% cotton, 30% nylon"
id_00001927,"color is Black cream Partially lined, woven Buttoned keyhole back"
id_00001928,"color is Black cream 9.5"" waist side seam to hem, 2"" inseam, 22"" leg opening, 8"" rise, 28"" waist  Measured from Small"
id_00001929,"color is Cocoa black Unlined, woven 100% rayon"
id_00001930,color is Cream Knit 100% cotton
id_00001931,"color is Rust cream Unlined, woven Elasticized waist, adjustable straps"
id_00001932,"color is Light denim Unlined, woven Long sleeves, darted bust"
id_00001933,color is Light blue Unlined 100% polyester
id_00001934,"color is Charcoal grey 23.5"" approx. length from high point shoulder to hem, 43"" chest, 41"" waist, 18"" sleeve length from high point shoulder Measured from Small"
id_00001935,"color is Black cream Fully lined Midweight, woven"
id_00001936,color is Grey Unlined Lightweight
id_00001937,"color is Heather grey 94% rayon, 6% spandex 27"" - 50"" full length, 38"" chest, 42"" waist"
id_00001938,color is Heather grey Round neckline Semi-sheer
id_00001939,"color is Black white Unlined Lightweight, woven"
id_00001940,"color is Light denim Zip fly Lightweight, woven"
id_00001941,"color is Heather grey 72% rayon, 24% polyester, 4% spandex 28"" full length, 32"" chest, 32"" waist"
id_00001942,"color is Ivory black Unlined Lightweight, woven"
id_00001943,"color is Navy Lightweight 57% cotton, 38% polyester, 5% spandex"
id_00001944,"color is Light denim Four-pocket construction, zip fly Woven"
id_00001945,"color is Rust Slightly dropped back hem, semi-sheer Unlined, lightweight"
id_00001946,"color is Black black Adjustable straps, concealed back zipper Partially lined, lightweight"
id_00001947,"color is Cream black Lightweight 81% acrylic, 19% polyester"
id_00001948,color is Blue red Woven Button collar
id_00001949,"color is Rust ivory Unlined, woven Round neckline, adjustable straps"
id_00001950,"color is Black silver Lightweight, woven Fully lined"
id_00001951,"color is Cream black Partially lined, round neckline Lightweight, woven"
id_00001952,"color is Black Lightweight, woven 74% cotton, 21% polyester, 5% rayon"
id_00001953,"color is Black red Adjustable cami straps Unlined, woven"
id_00001954,"color is Burgundy black Unlined Lightweight, woven"
id_00001955,color is Green blue Woven Buttoned sleeves
id_00001956,"color is Dark navy Woven, fully lined Lightweight, round neckline"
id_00001957,color is Black yellow Fully lined Woven
id_00001958,"color is Indigo cream Lightweight, woven Zip fly"
id_00001959,"color is Blue cream Slanted front pockets, adjustable straps Elasticized back, unlined"
id_00001960,"color is Coral oatmeal 23.5-33"" approx. length from high point shoulder to hem, 28"" chest, 26"" waist Measured from Small"
id_00001961,"color is Red cream 56"" approx. length from bust to hem, 32"" chest, 29"" waist Measured from Small"
id_00001962,color is Coral cream Partially lined Woven
id_00001963,"color is Peach Unlined, lightweight 100% polyester"
id_00001964,color is White Unlined Lightweight knit
id_00001965,"color is Ivory Unlined, knit Short sleeves, round neckline"
id_00001966,color is Black cream Knit 100% cotton
id_00001967,"color is Dark grey Midweight knit 86% acrylic, 14% nylon"
id_00001968,color is White black Round neckline Lightweight knit
id_00001968,color is White black Round neckline Lightweight knit
id_00001969,"color is Cream orange Curved hem, unlined Lightweight, woven"
id_00001970,color is Black heather grey Lightweight knit Curved hemline
id_00001971,"color is Cream Fully lined Midweight, woven"
id_00001972,color is White Zip fly Woven
id_00001973,"color is Mauve 25"" approx. length from high point shoulder to hem, 30"" chest, 29"" waist Measured from Small"
id_00001974,"color is Royal 3/4 dolman sleeves, invisible back zipper Partially lined, lightweight"
id_00001975,"color is Royal Lightweight 61% polyester, 33% rayon, 6% spandex"
id_00001976,"color is Olive Buttoned cuffs, unlined Lightweight, woven"
id_00001977,"color is Pink Lightweight, woven Unlined"
id_00001978,color is Black multi Officially licensed product Lightweight knit
id_00001979,"color is Navy Elasticized waist, sleeveless Unlined, woven"
id_00001980,"color is Peach Partially lined Lightweight, woven"
id_00001981,"color is Green 100% polyester 27"" full length, 30"" chest, 32"" waist"
id_00001982,"color is Jade Lightweight Crew neck, ribbed trim"
id_00001983,color is Burgundy Unlined Lightweight
id_00001984,color is White Knit 100% polyester
id_00001985,color is Navy white Lightweight knit Short sleeves
id_00001986,"color is Black cream Lightweight, woven Unlined, button-tab sleeves"
id_00001987,"color is Blue burgundy Crew neck, curved hem Knit"
id_00001988,color is Burgundy Woven Lightweight
id_00001989,color is Cream Partially lined Lightweight woven
id_00001990,"color is Blue orange Unlined Lightweight, woven"
id_00001991,color is Black ivory Lightweight 100% acrylic
id_00001992,"color is Burgundy white Midweight knit 90% cotton, 10% polyester"
id_00001993,"color is White multi Lightweight, woven Basic collar, long sleeves"
id_00001994,color is Ivory Partially lined 100% rayon
id_00001995,"color is Black cream Lightweight knit 95% cotton, 5% spandex"
id_00001996,"color is Cream black Lightweight 68% polyester, 28% rayon, 4% spandex"
id_00001997,"color is Green royal Unlined, woven Short sleeves, round neckline"
id_00001998,"color is Khaki Unlined, woven Concealed side zipper, back mock pockets"
id_00001999,"color is Dark green Lightweight, unlined Elasticized waist"
id_00002000,color is Taupe Lightweight Knit
id_00002001,"color is Cream 49"" approx. length from bust to hem, 32"" chest, 28"" waist Measured from Small"
id_00002002,"color is Mint black Lightweight knit 50% cotton, 50% polyester"
id_00002003,color is Cream black Crew neck Lightweight knit
id_00002004,"color is Cream Buttoned keyhole slit at back, V-neckline Unlined, lightweight"
id_00002005,"color is Burgundy black  23.5"" approx. length from high point shoulder to hem, 42"" chest, 38"" waist, 6"" sleeve length from shoulder ridge, 13"" shoulder width   Measured from Small "
id_00002006,"color is Wine Lightweight, woven 98% cotton, 2% spandex"
id_00002007,"color is Black grey Fully lined Lightweight, woven"
id_00002008,color is Ivory mint Lightweight Unlined
id_00002009,color is Black grey Unlined Lightweight
id_00002010,color is Grey green Unlined Semi-sheer
id_00002011,"color is White green Contrast trim, knit 61% polyester, 34% rayon, 5% spandex"
id_00002012,"color is Ivory green Adjustable spaghetti straps, unlined Lightweight"
id_00002013,"color is Cream dark navy Woven, slip included Lightweight"
id_00002014,"color is Black Lightweight knit Self: 95% polyester, 5% spandex; Contrast: 92% polyester, 8% spandex"
id_00002015,"color is Rust Lightweight 53% polyester, 35% cotton, 12% rayon"
id_00002016,color is Cream black Round neckline Lightweight
id_00002017,"color is Cream Mock chest pocket, sleeveless Partially lined, lightweight"
id_00002018,color is Navy mustard Elasticized back Knit
id_00002019,color is Black white Unlined Raw-cut hem
id_00002020,"color is Rust blue Unlined, exposed back zipper Lightweight, woven"
id_00002021,color is Mustard Unlined Lightweight
id_00002022,"color is Black cream  21"" approx. length from high point shoulder to hem, 40"" chest, 42"" waist Measured from Small "
id_00002023,"color is Peach Unlined Lightweight, woven"
id_00002024,"color is Red Lightweight, unlined Invisible back zipper"
id_00002025,"color is Black multi Lightweight knit 93% modal, 7% spandex"
id_00002026,color is Black red Knit 100% cotton
id_00002027,"color is Cream black Lightweight knit Shell: 70% acrylic, 30% polyester; Trim: 55% polyester, 35% lurex, 10% spandex"
id_00002028,"color is Denim washed Front patch pocket Unlined, woven"
id_00002029,color is White red Crew neck Knit
id_00002030,color is Charcoal white Ribbed crew neckline Lightweight knit
id_00002031,"color is Cream Fully lined, woven Elasticized waist"
id_00002032,"color is Black multi Fully lined, woven 100% rayon"
id_00002033,"color is Denim washed Lightweight, woven 100% cotton"
id_00002034,"color is White black Crew neck, cuffed sleeves Knit"
id_00002035,color is Denim washed Woven Long sleeves
id_00002036,"color is Cream Adjustable straps, invisible back zipper Fully lined, woven"
id_00002037,"color is Medium denim Zip fly Lightweight, woven"
id_00002038,"color is Burgundy 11"" waist side seam to hem, 2.75"" inseam, 22"" leg opening, 10"" rise, 26"" waist  Measured from Size 25"
id_00002039,"color is Black multi Unlined, woven 100% rayon"
id_00002040,color is Mustard Unlined Lightweight
id_00002041,"color is Black Contrast-trimmed open front, dropped 3/4 sleeves Lightweight knit"
id_00002042,color is Blue cream Unlined 100% rayon
id_00002043,color is Navy Lightweight 100% nylon
id_00002044,"color is Red navy Unlined, buttoned long sleeves Lightweight, woven"
id_00002045,"color is Black cream Lightweight Shell 1: 73% polyester, 27% rayon; Trim: 100% cotton"
id_00002046,"color is Blue Woven Zip fly, vented hem"
id_00002047,"color is Black gold Midweight, woven 100% cotton"
id_00002048,"color is Black Lightweight, woven Unlined, buttoned keyhole back"
id_00002049,"color is Black cream 28.5"" approx. length from high point shoulder to hem, 38"" chest, 49"" waist, 31"" sleeve length from high point shoulder One size fits most"
id_00002050,"color is Black Unlined Lightweight, woven"
id_00002051,"color is Cream black Front patch pockets, ribbed trim Lightweight"
id_00002051,"color is Cream black Front patch pockets, ribbed trim Lightweight"
id_00002052,"color is Blue ivory Dolphin hem Woven, unlined"
id_00002053,"color is Black Elasticized back waist Fully lined, woven"
id_00002054,"color is Wine Lightweight Shell 1: 60% cotton, 40% micromodal庐 rayon; Shell 2: 88% nylon, 12% spandex"
id_00002055,"color is Cream Lightweight knit Elasticized waist, cuffed ankles"
id_00002056,"color is Heather grey Unlined, knit 95% rayon, 5% spandex"
id_00002057,"color is Blush sage Concealed side zipper Woven, unlined"
id_00002058,"color is Black multi Fully lined, exposed zippered back Lightweight, woven"
id_00002059,"color is White navy Woven, unlined 100% viscose"
id_00002060,"color is Blue multi Fully lined, woven Shell: 90% cotton, 10% rayon; Lining: 80% polyester, 20% cotton"
id_00002061,"color is Cream multi Unlined, woven 100% cotton"
id_00002062,color is Black light pink Unlined Lightweight
id_00002063,color is Black gold Exposed back zipper Lightweight knit
id_00002064,color is Cream red Lightweight knit 100% acrylic
id_00002065,color is Cream black Round neckline Lightweight knit
id_00002066,"color is White multi Officially licensed product Ribbed round neckline, lightweight"
id_00002067,"color is Blush silver Woven, fully lined Lightweight"
id_00002068,color is Midnight Unlined Woven
id_00002069,"color is Black cream Unlined, woven 100% rayon"
id_00002070,color is Heather grey blue Lightweight knit & woven 100% cotton
id_00002071,"color is Olive  26"" approx. length from high point shoulder to hem, 46"" chest, 51"" waist, 8.25"" sleeve length from high point shoulder  Measured from Small "
id_00002072,"color is Black rust 95% rayon, 5% spandex 20"" full length, 38"" chest, 36"" waist"
id_00002073,color is Heather grey Unlined Knit
id_00002074,"color is Navy white Elasticized waist, two slanted front pockets Lightweight, unlined"
id_00002075,"color is Cream 26"" approx. length from high point shoulder to hem, 36"" chest, 36"" waist, 8"" sleeve length from high point shoulder  Measured from Small "
id_00002076,"color is Red Lightweight Shell 1: 98% polyester, 2% spandex; shell 2: 100% cotton"
id_00002077,"color is Blush black Buttoned keyhole back, fully lined Lightweight, woven"
id_00002078,"color is Black multi Smocked back panel, partially lined Lightweight, woven"
id_00002079,"color is Light denim Woven Five-pocket construction, zip fly"
id_00002080,color is Heather grey purple Officially licensed product Lightweight knit
id_00002081,"color is Heather grey Exposed back zipper Lightweight, unlined"
id_00002082,"color is Lavender Keyhole back, long sleeves Unlined, woven"
id_00002083,color is Grey Front flap pockets Midweight
id_00002084,"color is Black cream Front patch pockets, contrast trim Long sleeves"
id_00002085,color is Cream Lightweight 100% rayon
id_00002086,"color is Oatmeal 31.5""-42.5"" approx. length from high point shoulder to hem, 29"" chest, 25"" waist, 18"" sleeve length from high point shoulder Measured from Small"
id_00002087,"color is Navy Lightweight, unlined 96% polyester, 4% spandex"
id_00002088,"color is Ivory black Knit 60% cotton, 40% modal"
id_00002089,"color is Oatmeal Lightweight 60% cotton, 40% acrylic"
id_00002090,"color is Denim Five-pocket construction, button closures at sides & adjustable straps Unlined, woven"
id_00002091,color is Charcoal multi Officially licensed product Lightweight knit
id_00002092,"color is Denim washed Zip fly, buttoned back welt pockets Lightweight, woven"
id_00002093,"color is Charcoal heather Lightweight knit 62% polyester, 33% rayon, 5% spandex"
id_00002094,"color is Black cream Lightweight 95% cotton, 5% spandex"
id_00002095,"color is Grey 32"" approx. inseam, 25"" waist, 10"" leg opening, 8"" rise, 20"" thigh circumference Measured from Size 25"
id_00002096,"color is Oatmeal orange Lightweight knit 79% cotton, 21% polyester"
id_00002097,color is Black cream Unlined Lightweight
id_00002098,"color is Cream red 27"" approx. length from high point shoulder to hem, 40"" chest, 38"" waist, 22.5"" sleeve length from high point shoulder Measured from Small"
id_00002099,"color is Black pink Fully lined, woven Shell: 100% rayon; Lining: 100% polyester"
id_00002100,"color is Medium denim Adjustable cami straps, slanted front pockets Woven, unlined"
id_00002101,"color is Black Unlined, knit 47% cotton, 47% modal, 6% spandex"
id_00002102,color is Coral Fully lined Lightweight knit
id_00002103,"color is Heather grey black 28"" approx. length from high point shoulder to hem, 44"" chest, 42"" waist, 18"" sleeve length from high point shoulder Measured from Medium"
id_00002104,color is Black cream Lightweight Woven
id_00002105,color is Grey Lightweight Unlined
id_00002106,"color is Neon coral mint Knit bodice, Woven skirt Lightly padded bust"
id_00002107,"color is Blue cream Basic collar, unlined Woven"
id_00002108,"color is Berry Invisible back zipper, fully lined Woven"
id_00002109,"color is Blush black Unlined Lightweight, woven"
id_00002110,"color is Sky blue Unlined, zip fly Lightweight, woven"
id_00002111,"color is Heather grey Heavyweight Long sleeves, front slant pockets"
id_00002112,"color is Rust Knit 56% cotton, 37% modal, 7% spandex"
id_00002113,"color is Cream mustard Woven, unlined 100% rayon"
id_00002114,color is Tomato Ribbed trim Lightweight
id_00002115,"color is Black white Midweight knit 57% cotton, 43% polyester"
id_00002116,"color is Heather grey  28"" approx. length from high point shoulder to hem, 42"" chest, 40"" waist, 9"" sleeve length from high point shoulder  Measured from Medium "
id_00002117,"color is Black Lightweight, woven 68% cotton, 30% polyester, 2% spandex"
id_00002118,color is Plum Unlined Woven
id_00002119,"color is Black Unlined, woven Adjustable straps"
id_00002120,color is Navy multi Ribbed trim Lightweight
id_00002121,color is Silver Knit Lightweight
id_00002122,"color is White black Lightweight knit 50% cotton, 50% modal"
id_00002122,"color is White black Lightweight knit 50% cotton, 50% modal"
id_00002123,"color is Blue orange Woven, partially lined Lightweight, invisible back zipper"
id_00002124,"color is Pink Lightweight 78% polyester, 22% acrylic"
id_00002125,color is Charcoal Long sleeves Midweight
id_00002126,color is White Side-split hem Lightweight knit
id_00002127,"color is Black Invisible back zipper Unlined, woven"
id_00002128,"color is Black cream Partially lined Lightweight, woven"
id_00002129,color is White multi Officially licensed product Short sleeves
id_00002130,"color is Medium denim Lightweight, woven 80% cotton, 19% polyester, 1% spandex"
id_00002131,"color is Black Scalloped hem, sleeveless Unlined, lightweight knit"
id_00002132,"color is Denim washed Five-pocket construction, zip fly Lightweight, woven"
id_00002133,"color is Light blue royal Lightweight knit 96% rayon, 4% spandex"
id_00002134,"color is Rust cream Unlined, woven 100% rayon"
id_00002135,"color is Cream multi Buttoned keyhole back, unlined Lightweight, woven"
id_00002136,"color is Red Semi-sheer, lightweight Shell 1: 100% rayon; Shell 2: 55% cotton, 45% nylon"
id_00002137,"color is Cream black Officially licensed product Round neckline, ribbed trim"
id_00002138,"color is Black cream Unlined, woven Shell 1: 100% rayon; Shell 2: 100% cotton"
id_00002139,"color is Blush Unlined Lightweight, woven"
id_00002140,"color is Cream black Lightweight, woven Unlined, 3/4 sleeves"
id_00002141,color is Black cream Unlined Lightweight knit
id_00002142,color is Cream pink Scoop neckline Lightweight
id_00002143,color is Black Mesh back Unlined
id_00002144,"color is Heather grey 100% rayon 26"" full length, 40"" chest, 38"" waist, 24"" sleeve length"
id_00002145,"color is Red cream Unlined, back welt pockets Lightweight, woven"
id_00002146,"color is Navy Unlined, includes matching cami slip Midweight, woven"
id_00002147,"color is Black Unlined 84% lyocell, 16% ramie"
id_00002148,"color is Blue cream Unlined, woven 100% viscose"
id_00002149,"color is Denim 32"" approx. inseam, 25"" waist, 9"" leg opening, 8"" rise, 20"" thigh circumference Measured from Small"
id_00002150,color is White mint Seamless Lightweight
id_00002151,"color is Indigo Lightweight knit 95% cotton, 5% spandex"
id_00002152,"color is Heather grey Lightweight knit 96% rayon, 4% spandex"
id_00002153,color is Yellow Unlined Concealed zippered side
id_00002154,"color is Black coral Unlined, woven 100% rayon"
id_00002155,"color is Coral Fully lined, woven Shell: 100% rayon; Lining: 100% polyester"
id_00002156,"color is Burgundy mauve Fully lined, woven Shell & Lining: 100% rayon; Trim: 100% cotton"
id_00002157,"color is Peach beige 17"" approx. length from high point shoulder to hem, 37"" chest, 47"" waist Measured from Small"
id_00002158,color is Purple multi Short sleeves Lightweight knit
id_00002159,"color is Hot pink Unlined Lightweight, woven"
id_00002160,"color is Navy Five-pocket construction, zip fly Woven"
id_00002161,"color is Black black Concealed back zipper, partially lined Lightweight, woven"
id_00002162,"color is Amber 24.5"" approx. length from high point shoulder to hem, 26"" chest, 25"" waist Measured from Small"
id_00002163,color is Navy orange Lightweight knit 100% cotton
id_00002164,color is Cream black Knit Banded trim
id_00002165,"color is Cream Lightweight 85% polyester, 35% rayon"
id_00002166,"color is Black Lightweight knit Unlined, elasticized waist"
id_00002167,color is Heather grey brown Officially licensed product Lightweight knit
id_00002168,color is Black nude Unlined Lightweight knit
id_00002169,"color is Light grey Ribbed trim, long sleeves Lightweight"
id_00002170,color is Taupe green Lightweight knit Long sleeves
id_00002171,"color is Blue cream Fully lined, invisible back zipper Lightweight, knit & woven"
